CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C12623,93.964086,1.0,815.34,149.04,666.3,0.0,0.916667,0.25,0.75,0.0,0,14,2500.0,361.786239,125.693866,0.3,12
C13338,129.314624,1.0,94.5,0.0,94.5,0.0,0.583333,0.0,0.583333,0.0,0,7,1500.0,132.94586,849.067783,0.0,12
C14943,120.945829,0.7,33.38,0.0,33.38,0.0,0.2,0.0,0.1,0.0,0,2,1000.0,514.002301,148.330512,0.0,10
C12509,60.52124,0.8,469.0,0.0,469.0,0.0,0.6,0.0,0.5,0.0,0,6,1000.0,541.359082,115.03052,0.833333,10
C12871,176.478557,0.545455,600.0,600.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1500.0,690.478077,77.300437,0.0,12
C13431,465.332882,1.0,6920.08,5182.71,1737.37,0.0,0.833333,0.583333,0.5,0.0,0,34,9500.0,5691.439238,235.694396,0.636364,12
C12476,11964.83264,1.0,1175.35,1031.85,143.5,2271.555171,0.75,0.583333,0.416667,0.583333,11,19,14000.0,2949.673416,3098.62505,0.0,12
C16213,18.810493,0.363636,0.0,0.0,0.0,189.012877,0.0,0.0,0.0,0.090909,1,0,7500.0,714.958591,56.421314,1.0,11
C16311,3855.225836,1.0,0.0,0.0,0.0,1837.620008,0.0,0.0,0.0,0.416667,5,0,7500.0,977.203331,875.725207,0.0,12
C19048,385.462843,0.9,427.1,50.0,377.1,809.585272,0.9,0.1,0.8,0.5,6,25,1000.0,343.125132,334.254826,0.0,10
C12600,3461.183622,1.0,200.0,200.0,0.0,108.408059,0.083333,0.083333,0.0,0.083333,1,1,3500.0,1322.74089,3419.12662,0.0,12
C17739,1101.792789,1.0,1591.37,1591.37,0.0,447.953652,0.666667,0.666667,0.0,0.166667,2,10,3000.0,699.75547,228.555892,0.0,12
C12833,78.027358,0.454545,377.07,377.07,0.0,367.672276,0.25,0.25,0.0,0.083333,2,8,1500.0,1547.271973,157.18024,0.25,12
C14189,21.849058,1.0,256.11,0.0,256.11,0.0,0.916667,0.0,0.916667,0.0,0,11,2500.0,282.902137,169.325906,0.833333,12
C13312,2007.080218,1.0,75.0,0.0,75.0,1270.19897,0.25,0.0,0.166667,0.166667,4,3,2500.0,453.694102,498.284122,0.0,12
C16226,2490.340771,1.0,2197.28,2064.28,133.0,0.0,0.833333,0.75,0.333333,0.0,0,40,4200.0,775.676457,795.224277,0.0,12
C11805,2529.016337,1.0,1040.74,0.0,1040.74,0.0,1.0,0.0,1.0,0.0,0,28,2500.0,1746.018537,2996.008935,0.0,12
C15344,481.961018,0.909091,967.23,585.5,381.73,6718.127621,0.25,0.166667,0.166667,0.666667,19,15,1400.0,9282.027007,217.823333,0.571429,12
C15333,2266.220776,1.0,125.32,125.32,0.0,434.011893,0.083333,0.083333,0.0,0.083333,1,1,3000.0,657.190307,633.370465,0.0,12
C16716,287.589522,1.0,33.35,0.0,33.35,0.0,0.083333,0.0,0.083333,0.0,0,1,6000.0,558.143294,170.130711,0.0,12
C12278,28.924276,1.0,324.6,0.0,324.6,0.0,1.0,0.0,1.0,0.0,0,12,3000.0,320.218246,174.11997,0.833333,12
C15917,741.05358,1.0,0.0,0.0,0.0,37.527333,0.0,0.0,0.0,0.083333,1,0,1200.0,1267.067064,231.513272,0.0,12
C15836,4539.839383,1.0,384.0,209.0,175.0,74.101229,1.0,0.083333,0.916667,0.083333,1,13,5000.0,879.549573,2035.107418,0.0,12
C12381,21.377711,0.636364,312.1,0.0,312.1,0.0,0.583333,0.0,0.583333,0.0,0,7,2000.0,497.127166,145.605731,1.0,12
C11193,802.618739,1.0,2860.32,2435.82,424.5,0.0,0.666667,0.416667,0.416667,0.0,0,28,4500.0,2024.536409,232.97847,0.0,12
C15467,1543.205532,1.0,1027.57,927.57,100.0,0.0,0.416667,0.333333,0.083333,0.0,0,13,6000.0,319.878647,443.406361,0.0,12
C14460,8.820992,0.7,91.46,91.46,0.0,0.0,0.2,0.2,0.0,0.0,0,2,1500.0,77.334707,46.086964,0.0,10
C18233,130.545845,1.0,1738.48,631.0,1107.48,0.0,1.0,0.083333,1.0,0.0,0,33,2000.0,1928.666446,167.893173,0.75,12
C13128,5500.316126,1.0,0.0,0.0,0.0,4930.998256,0.0,0.0,0.0,0.166667,6,0,9000.0,10036.80464,1915.072549,0.083333,12
C13591,1040.419338,1.0,307.92,0.0,307.92,18.616675,1.0,0.0,1.0,0.083333,1,17,1000.0,340.87911,3332.992542,0.0,12
C11443,2135.365916,1.0,0.0,0.0,0.0,1884.671403,0.0,0.0,0.0,0.166667,3,0,3000.0,565.655851,659.678948,0.0,12
C12368,14.68344,0.363636,67.44,67.44,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,4000.0,82.000743,57.564463,0.0,12
C10666,299.765294,1.0,2352.2,1136.7,1215.5,0.0,0.916667,0.666667,0.75,0.0,0,30,6500.0,2671.279796,185.468819,0.25,12
C10534,2549.128288,1.0,13771.63,4503.31,9268.32,0.0,1.0,0.5,1.0,0.0,0,83,14500.0,16826.42443,451.636081,0.25,12
C14535,785.429991,1.0,0.0,0.0,0.0,277.70324,0.0,0.0,0.0,0.083333,1,0,1200.0,327.423796,168.363818,0.0,12
C17723,486.17036,0.545455,0.0,0.0,0.0,1494.441569,0.0,0.0,0.0,0.083333,1,0,1500.0,2945.61949,120.041669,0.181818,12
C13133,117.205812,0.818182,215.0,215.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1750.0,86.403222,182.994424,0.0,12
C10722,1495.801569,1.0,420.03,320.03,100.0,0.0,1.0,0.25,1.0,0.0,0,16,6600.0,1283.885302,389.191998,0.0,12
C12390,74.34204,1.0,724.52,200.0,524.52,0.0,1.0,0.083333,1.0,0.0,0,13,4000.0,529.362717,189.362616,0.916667,12
C15022,7.20735,0.545455,152.02,0.0,152.02,0.0,0.583333,0.0,0.5,0.0,0,7,1000.0,219.445915,99.133361,0.5,12
C11446,1080.956258,1.0,386.78,386.78,0.0,2208.470306,0.333333,0.333333,0.0,0.333333,7,7,2600.0,3078.374295,402.102876,0.090909,12
C16728,1347.883104,1.0,174.05,69.55,104.5,1714.06927,0.166667,0.083333,0.083333,0.25,5,3,3000.0,1711.864665,392.529445,0.0,12
C10196,966.251742,1.0,311.45,311.45,0.0,955.959749,0.333333,0.333333,0.0,0.083333,1,15,1500.0,277.522439,286.299328,0.0,12
C11073,328.242971,1.0,1555.66,1023.9,531.76,0.0,1.0,0.25,1.0,0.0,0,26,3500.0,1052.275904,206.423078,0.0,12
C17567,63.292505,1.0,545.38,0.0,545.38,0.0,0.916667,0.0,0.833333,0.0,0,11,4000.0,520.936337,156.600058,0.166667,12
C14712,151.194794,0.818182,2634.7,2411.53,223.17,0.0,1.0,1.0,0.363636,0.0,0,42,7500.0,2295.964836,103.773786,0.5,11
C18620,4743.748932,1.0,399.0,0.0,399.0,1112.247446,0.666667,0.0,0.583333,0.166667,3,8,5000.0,1259.057672,1481.732235,0.0,12
C17970,1366.778251,1.0,5065.83,4539.7,526.13,48.245421,1.0,1.0,0.666667,0.083333,1,69,1700.0,4366.758829,904.850068,0.0,12
C11081,140.349336,0.363636,1042.52,1042.52,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,6000.0,3212.647061,260.066741,0.5,12
C17604,1371.187284,1.0,208.76,149.0,59.76,73.235325,0.25,0.166667,0.166667,0.083333,2,5,1500.0,447.764231,1969.536576,0.0,12
C12826,2085.013555,1.0,198.27,198.27,0.0,0.0,0.166667,0.166667,0.0,0.0,0,2,8000.0,748.549629,524.180778,0.0,12
C19062,94.307698,1.0,343.99,0.0,343.99,0.0,1.0,0.0,0.888889,0.0,0,17,1000.0,327.62139,125.3494,0.0,9
C12356,936.041324,1.0,1141.24,999.08,142.16,0.0,0.666667,0.166667,0.583333,0.0,0,12,1200.0,1225.983876,2595.332901,0.0,12
C13057,3.744802,0.272727,154.5,154.5,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,3800.0,178.897596,30.229283,0.0,12
C14684,7934.946009,1.0,1792.15,1792.15,0.0,4169.060991,0.333333,0.333333,0.0,0.333333,6,16,11500.0,2373.896899,2184.394699,0.0,12
C16364,3155.155315,1.0,0.0,0.0,0.0,147.664311,0.0,0.0,0.0,0.166667,2,0,3500.0,975.901669,949.523933,0.0,12
C11938,98.427228,1.0,389.24,0.0,389.24,0.0,0.666667,0.0,0.583333,0.0,0,11,8500.0,371.314009,178.045751,0.0,12
C17715,1372.083399,1.0,800.0,0.0,800.0,0.0,0.833333,0.0,0.833333,0.0,0,10,1200.0,1190.700111,2461.558168,0.0,12
C14762,183.992665,0.818182,1402.4,1140.5,261.9,0.0,0.666667,0.583333,0.416667,0.0,0,19,7200.0,1262.938606,239.059144,0.142857,12
C11266,408.732898,0.272727,0.0,0.0,0.0,4799.003911,0.0,0.0,0.0,0.083333,1,0,5000.0,19666.29097,678.362107,1.0,12
C14992,1202.204204,1.0,435.04,435.04,0.0,0.0,0.916667,0.916667,0.0,0.0,0,11,1200.0,686.958695,847.988773,0.0,12
C13002,1484.705242,1.0,2673.3,2272.02,401.28,4104.024116,0.916667,0.666667,1.0,0.5,29,26,5000.0,6169.78218,646.953153,0.0,12
C13838,2817.59092,1.0,37.92,0.0,37.92,0.0,0.166667,0.0,0.166667,0.0,0,2,3000.0,755.313452,1167.316335,0.0,12
